filename,width,height,class,xmin,ymin,xmax,ymax
Captcha000201.png,190,50,J,20,12,27,29
Captcha000201.png,190,50,p,49,19,62,32
Captcha000201.png,190,50,U,63,18,77,34
Captcha000201.png,190,50,h,77,16,92,30
Captcha000201.png,190,50,8,96,12,111,26
Captcha000202.png,190,50,y,30,12,46,26
Captcha000202.png,190,50,B,58,8,73,22
Captcha000202.png,190,50,d,87,24,100,37
Captcha000202.png,190,50,1,104,21,116,34
Captcha000202.png,190,50,Z,120,22,134,35
Captcha000203.png,190,50,Z,27,11,42,25
Captcha000203.png,190,50,g,42,21,54,35
Captcha000203.png,190,50,6,68,15,80,28
Captcha000203.png,190,50,t,87,16,97,29
Captcha000203.png,190,50,Z,107,14,122,26
Captcha000204.png,190,50,S,29,24,42,38
Captcha000204.png,190,50,7,41,9,55,24
Captcha000204.png,190,50,l,53,7,59,21
Captcha000204.png,190,50,e,71,19,83,29
Captcha000204.png,190,50,X,87,25,103,39
Captcha000205.png,190,50,Z,25,19,39,31
Captcha000205.png,190,50,E,44,9,56,22
Captcha000205.png,190,50,y,71,10,85,23
Captcha000205.png,190,50,1,98,8,110,21
Captcha000205.png,190,50,i,123,14,128,28
Captcha000206.png,190,50,l,21,15,25,28
Captcha000206.png,190,50,S,36,23,50,37
Captcha000206.png,190,50,6,59,22,74,37
Captcha000206.png,190,50,k,79,7,94,21
Captcha000206.png,190,50,Z,101,25,116,38
Captcha000207.png,190,50,p,29,25,42,40
Captcha000207.png,190,50,9,48,11,61,24
Captcha000207.png,190,50,f,78,16,86,29
Captcha000207.png,190,50,D,109,11,123,25
Captcha000207.png,190,50,F,124,25,136,38
Captcha000208.png,190,50,L,26,10,38,25
Captcha000208.png,190,50,e,48,13,61,24
Captcha000208.png,190,50,D,67,13,82,25
Captcha000208.png,190,50,3,80,22,93,35
Captcha000208.png,190,50,q,98,24,111,39
Captcha000209.png,190,50,9,28,18,41,33
Captcha000209.png,190,50,L,43,21,57,35
Captcha000209.png,190,50,x,56,11,72,23
Captcha000209.png,190,50,q,71,24,84,39
Captcha000209.png,190,50,B,100,13,115,27
Captcha000210.png,190,50,P,27,16,42,30
Captcha000210.png,190,50,j,46,8,53,26
Captcha000210.png,190,50,C,74,9,90,23
Captcha000210.png,190,50,t,102,8,113,22
Captcha000210.png,190,50,8,123,21,137,34
Captcha000211.png,190,50,W,28,24,51,38
Captcha000211.png,190,50,8,45,18,57,31
Captcha000211.png,190,50,w,56,21,75,31
Captcha000211.png,190,50,j,81,15,89,32
Captcha000211.png,190,50,R,106,26,120,40
Captcha000212.png,190,50,8,27,7,41,21
Captcha000212.png,190,50,M,47,24,65,37
Captcha000212.png,190,50,d,71,7,85,21
Captcha000212.png,190,50,l,95,23,99,36
Captcha000212.png,190,50,W,123,10,147,25
Captcha000213.png,190,50,Z,20,25,37,39
Captcha000213.png,190,50,l,44,13,49,27
Captcha000213.png,190,50,f,56,13,69,27
Captcha000213.png,190,50,S,87,9,101,23
Captcha000213.png,190,50,8,110,26,123,40
Captcha000214.png,190,50,V,26,9,43,24
Captcha000214.png,190,50,R,93,22,108,36
Captcha000214.png,190,50,c,52,13,69,24
Captcha000214.png,190,50,l,81,8,85,22
Captcha000214.png,190,50,9,114,8,129,22
Captcha000215.png,190,50,Q,29,24,48,40
Captcha000215.png,190,50,b,54,26,70,41
Captcha000215.png,190,50,8,84,26,99,40
Captcha000215.png,190,50,m,105,23,125,35
Captcha000215.png,190,50,P,130,16,145,30
Captcha000216.png,190,50,E,22,12,35,26
Captcha000216.png,190,50,c,44,21,56,32
Captcha000216.png,190,50,4,74,11,89,26
Captcha000216.png,190,50,c,101,18,113,30
Captcha000216.png,190,50,K,119,7,134,22
Captcha000217.png,190,50,E,30,11,42,24
Captcha000217.png,190,50,n,58,18,72,30
Captcha000217.png,190,50,D,76,18,91,32
Captcha000217.png,190,50,8,97,15,111,29
Captcha000217.png,190,50,v,123,27,137,39
Captcha000218.png,190,50,p,21,11,36,26
Captcha000218.png,190,50,H,44,20,60,36
Captcha000218.png,190,50,8,61,21,75,34
Captcha000218.png,190,50,V,89,18,104,30
Captcha000218.png,190,50,h,107,22,120,37
Captcha000219.png,190,50,S,33,11,47,25
Captcha000219.png,190,50,2,49,13,64,27
Captcha000219.png,190,50,Y,71,22,85,37
Captcha000219.png,190,50,i,89,12,94,26
Captcha000219.png,190,50,h,112,21,125,35
Captcha000220.png,190,50,X,18,8,35,22
Captcha000220.png,190,50,l,49,17,55,31
Captcha000220.png,190,50,8,67,21,81,35
Captcha000220.png,190,50,J,85,18,93,35
Captcha000220.png,190,50,l,111,11,117,25
Captcha000221.png,190,50,7,29,6,43,21
Captcha000221.png,190,50,y,53,26,69,39
Captcha000221.png,190,50,q,82,24,95,39
Captcha000221.png,190,50,K,94,20,109,34
Captcha000221.png,190,50,E,108,22,121,36
Captcha000222.png,190,50,i,22,19,27,33
Captcha000222.png,190,50,L,45,22,57,36
Captcha000222.png,190,50,v,69,27,83,39
Captcha000222.png,190,50,Z,82,12,98,26
Captcha000222.png,190,50,9,111,11,124,24
Captcha000223.png,190,50,P,31,19,46,32
Captcha000223.png,190,50,6,55,17,69,31
Captcha000223.png,190,50,K,81,23,96,37
Captcha000223.png,190,50,s,101,11,114,22
Captcha000223.png,190,50,c,124,10,137,21
Captcha000224.png,190,50,m,28,11,48,22
Captcha000224.png,190,50,w,47,15,64,26
Captcha000224.png,190,50,1,73,12,86,25
Captcha000224.png,190,50,E,103,12,116,26
Captcha000224.png,190,50,U,133,17,148,31
Captcha000225.png,190,50,l,36,24,41,38
Captcha000225.png,190,50,K,48,24,64,39
Captcha000225.png,190,50,E,61,12,76,26
Captcha000225.png,190,50,h,86,17,100,31
Captcha000225.png,190,50,6,106,20,119,35
Captcha000226.png,190,50,t,32,9,43,22
Captcha000226.png,190,50,z,57,27,69,39
Captcha000226.png,190,50,P,71,7,85,21
Captcha000226.png,190,50,1,87,24,100,38
Captcha000226.png,190,50,X,107,21,124,35
Captcha000227.png,190,50,k,23,7,37,20
Captcha000227.png,190,50,o,39,25,52,35
Captcha000227.png,190,50,T,64,22,79,35
Captcha000227.png,190,50,M,85,17,104,30
Captcha000227.png,190,50,2,108,17,120,30
Captcha000228.png,190,50,5,25,26,38,39
Captcha000228.png,190,50,i,50,15,56,28
Captcha000228.png,190,50,n,74,14,87,24
Captcha000228.png,190,50,C,98,14,112,27
Captcha000228.png,190,50,F,116,19,128,32
Captcha000229.png,190,50,s,20,23,32,33
Captcha000229.png,190,50,5,45,21,58,34
Captcha000229.png,190,50,k,57,20,72,34
Captcha000229.png,190,50,Q,87,17,104,32
Captcha000229.png,190,50,X,103,6,119,20
Captcha000230.png,190,50,2,21,24,33,37
Captcha000230.png,190,50,z,45,10,57,20
